,Action,value,Genotype,Age,Cage,Sex,timepoint
"(4303288, 'Male', '13 weeks', 'distance (mm)')",Distance,6943.787804,Rbmb6 HD:WT,13 weeks,4303288,Male,day_one
"(4303288, 'Male', '15-16 weeks', 'Climbing')",Climbing,11.64736,Rbmb6 HD:WT,15-16 weeks,4303288,Male,day_one
"(4303288, 'Male', '15-16 weeks', 'distance (mm)')",Distance,4592.682544,Rbmb6 HD:WT,15-16 weeks,4303288,Male,day_one
"(4303291, 'Female', '13 weeks', 'Climbing')",Climbing,143.904,Rbmb6 HD:WT,13 weeks,4303291,Female,day_one
"(4303291, 'Female', '13 weeks', 'distance (mm)')",Distance,6882.661426,Rbmb6 HD:WT,13 weeks,4303291,Female,day_one
"(4303291, 'Female', '15-16 weeks', 'Climbing')",Climbing,58.944,Rbmb6 HD:WT,15-16 weeks,4303291,Female,day_one
"(4303291, 'Female', '15-16 weeks', 'distance (mm)')",Distance,4742.123175,Rbmb6 HD:WT,15-16 weeks,4303291,Female,day_one
"(4309500, 'Male', '8 weeks', 'Climbing')",Climbing,42.72,Rbmb6 HD:Het,8 weeks,4309500,Male,day_one
"(4309500, 'Male', '8 weeks', 'distance (mm)')",Distance,8193.147485,Rbmb6 HD:Het,8 weeks,4309500,Male,day_one
"(4309505, 'Male', '13 weeks', 'Climbing')",Climbing,0,Rbmb6 HD:Het,13 weeks,4309505,Male,day_one
"(4309505, 'Male', '13 weeks', 'distance (mm)')",Distance,2213.834916,Rbmb6 HD:Het,13 weeks,4309505,Male,day_one
"(4309505, 'Male', '15-16 weeks', 'Climbing')",Climbing,29.28,Rbmb6 HD:Het,15-16 weeks,4309505,Male,day_one
"(4309505, 'Male', '15-16 weeks', 'distance (mm)')",Distance,7073.2948,Rbmb6 HD:Het,15-16 weeks,4309505,Male,day_one
"(4309505, 'Male', '8 weeks', 'Climbing')",Climbing,18.96,Rbmb6 HD:Het,8 weeks,4309505,Male,day_one
"(4309505, 'Male', '8 weeks', 'distance (mm)')",Distance,7722.061096,Rbmb6 HD:Het,8 weeks,4309505,Male,day_one
"(4309509, 'Female', '13 weeks', 'Climbing')",Climbing,156.224,Rbmb6 HD:WT,13 weeks,4309509,Female,day_one
"(4309509, 'Female', '13 weeks', 'distance (mm)')",Distance,6821.466138,Rbmb6 HD:WT,13 weeks,4309509,Female,day_one
"(4309509, 'Female', '15-16 weeks', 'Climbing')",Climbing,144.192,Rbmb6 HD:WT,15-16 weeks,4309509,Female,day_one
"(4309509, 'Female', '15-16 weeks', 'distance (mm)')",Distance,8738.216856,Rbmb6 HD:WT,15-16 weeks,4309509,Female,day_one
"(4309509, 'Female', '8 weeks', 'Climbing')",Climbing,205.104,Rbmb6 HD:WT,8 weeks,4309509,Female,day_one
"(4309509, 'Female', '8 weeks', 'distance (mm)')",Distance,9897.792102,Rbmb6 HD:WT,8 weeks,4309509,Female,day_one
"(4310394, 'Female', '13 weeks', 'Climbing')",Climbing,95.104,Rbmb6 HD:Het,13 weeks,4310394,Female,day_one
"(4310394, 'Female', '13 weeks', 'distance (mm)')",Distance,4941.958569,Rbmb6 HD:Het,13 weeks,4310394,Female,day_one
"(4310394, 'Female', '15-16 weeks', 'Climbing')",Climbing,27.84,Rbmb6 HD:Het,15-16 weeks,4310394,Female,day_one
"(4310394, 'Female', '15-16 weeks', 'distance (mm)')",Distance,11478.63403,Rbmb6 HD:Het,15-16 weeks,4310394,Female,day_one
"(4310394, 'Female', '8 weeks', 'Climbing')",Climbing,44.4,Rbmb6 HD:Het,8 weeks,4310394,Female,day_one
"(4310394, 'Female', '8 weeks', 'distance (mm)')",Distance,7623.986829,Rbmb6 HD:Het,8 weeks,4310394,Female,day_one
"(4310395, 'Female', '8 weeks', 'Climbing')",Climbing,103.296,Rbmb6 HD:Het,8 weeks,4310395,Female,day_one
"(4310395, 'Female', '8 weeks', 'distance (mm)')",Distance,7364.859858,Rbmb6 HD:Het,8 weeks,4310395,Female,day_one
"(4310396, 'Female', '13 weeks', 'Climbing')",Climbing,23.328,Rbmb6 HD:WT,13 weeks,4310396,Female,day_one
"(4310396, 'Female', '13 weeks', 'distance (mm)')",Distance,1963.250951,Rbmb6 HD:WT,13 weeks,4310396,Female,day_one
"(4310396, 'Female', '15-16 weeks', 'Climbing')",Climbing,83.784,Rbmb6 HD:WT,15-16 weeks,4310396,Female,day_one
"(4310396, 'Female', '15-16 weeks', 'distance (mm)')",Distance,4373.918622,Rbmb6 HD:WT,15-16 weeks,4310396,Female,day_one
"(4310396, 'Female', '8 weeks', 'Climbing')",Climbing,38.8,Rbmb6 HD:WT,8 weeks,4310396,Female,day_one
"(4310396, 'Female', '8 weeks', 'distance (mm)')",Distance,3079.180048,Rbmb6 HD:WT,8 weeks,4310396,Female,day_one
"(4310397, 'Male', '13 weeks', 'Climbing')",Climbing,3.84,Rbmb6 HD:WT,13 weeks,4310397,Male,day_one
"(4310397, 'Male', '13 weeks', 'distance (mm)')",Distance,3904.837318,Rbmb6 HD:WT,13 weeks,4310397,Male,day_one
"(4310397, 'Male', '15-16 weeks', 'Climbing')",Climbing,13.392,Rbmb6 HD:WT,15-16 weeks,4310397,Male,day_one
"(4310397, 'Male', '15-16 weeks', 'distance (mm)')",Distance,2597.212082,Rbmb6 HD:WT,15-16 weeks,4310397,Male,day_one
"(4310397, 'Male', '8 weeks', 'Climbing')",Climbing,8.688,Rbmb6 HD:WT,8 weeks,4310397,Male,day_one
