,Action,value,Genotype,Age,Cage,Sex,timepoint
"(4303288, 'Male', '13 weeks', 'distance (mm)')",Distance,4433.001959,Rbmb6 HD:WT,13 weeks,4303288,Male,day_three
"(4303288, 'Male', '15-16 weeks', 'Climbing')",Climbing,9.21312,Rbmb6 HD:WT,15-16 weeks,4303288,Male,day_three
"(4303288, 'Male', '15-16 weeks', 'distance (mm)')",Distance,3247.984039,Rbmb6 HD:WT,15-16 weeks,4303288,Male,day_three
"(4303291, 'Female', '13 weeks', 'Climbing')",Climbing,126.912,Rbmb6 HD:WT,13 weeks,4303291,Female,day_three
"(4303291, 'Female', '13 weeks', 'distance (mm)')",Distance,6533.855829,Rbmb6 HD:WT,13 weeks,4303291,Female,day_three
"(4303291, 'Female', '15-16 weeks', 'Climbing')",Climbing,80.016,Rbmb6 HD:WT,15-16 weeks,4303291,Female,day_three
"(4303291, 'Female', '15-16 weeks', 'distance (mm)')",Distance,7238.076962,Rbmb6 HD:WT,15-16 weeks,4303291,Female,day_three
"(4309500, 'Male', '8 weeks', 'Climbing')",Climbing,41.04,Rbmb6 HD:Het,8 weeks,4309500,Male,day_three
"(4309500, 'Male', '8 weeks', 'distance (mm)')",Distance,5399.775461,Rbmb6 HD:Het,8 weeks,4309500,Male,day_three
"(4309505, 'Male', '13 weeks', 'Climbing')",Climbing,31.584,Rbmb6 HD:Het,13 weeks,4309505,Male,day_three
"(4309505, 'Male', '13 weeks', 'distance (mm)')",Distance,7134.134006,Rbmb6 HD:Het,13 weeks,4309505,Male,day_three
"(4309505, 'Male', '15-16 weeks', 'Climbing')",Climbing,9.072,Rbmb6 HD:Het,15-16 weeks,4309505,Male,day_three
"(4309505, 'Male', '15-16 weeks', 'distance (mm)')",Distance,2712.674362,Rbmb6 HD:Het,15-16 weeks,4309505,Male,day_three
"(4309505, 'Male', '8 weeks', 'Climbing')",Climbing,24.096,Rbmb6 HD:Het,8 weeks,4309505,Male,day_three
"(4309505, 'Male', '8 weeks', 'distance (mm)')",Distance,6689.941004,Rbmb6 HD:Het,8 weeks,4309505,Male,day_three
"(4309509, 'Female', '13 weeks', 'Climbing')",Climbing,65.264,Rbmb6 HD:WT,13 weeks,4309509,Female,day_three
"(4309509, 'Female', '13 weeks', 'distance (mm)')",Distance,4872.854926,Rbmb6 HD:WT,13 weeks,4309509,Female,day_three
"(4309509, 'Female', '15-16 weeks', 'Climbing')",Climbing,14.824,Rbmb6 HD:WT,15-16 weeks,4309509,Female,day_three
"(4309509, 'Female', '15-16 weeks', 'distance (mm)')",Distance,256.4529587,Rbmb6 HD:WT,15-16 weeks,4309509,Female,day_three
"(4309509, 'Female', '8 weeks', 'Climbing')",Climbing,242.112,Rbmb6 HD:WT,8 weeks,4309509,Female,day_three
"(4309509, 'Female', '8 weeks', 'distance (mm)')",Distance,9375.311853,Rbmb6 HD:WT,8 weeks,4309509,Female,day_three
"(4310394, 'Female', '13 weeks', 'Climbing')",Climbing,73.616,Rbmb6 HD:Het,13 weeks,4310394,Female,day_three
"(4310394, 'Female', '13 weeks', 'distance (mm)')",Distance,5358.589917,Rbmb6 HD:Het,13 weeks,4310394,Female,day_three
"(4310394, 'Female', '15-16 weeks', 'Climbing')",Climbing,11.184,Rbmb6 HD:Het,15-16 weeks,4310394,Female,day_three
"(4310394, 'Female', '15-16 weeks', 'distance (mm)')",Distance,4838.899082,Rbmb6 HD:Het,15-16 weeks,4310394,Female,day_three
"(4310394, 'Female', '8 weeks', 'Climbing')",Climbing,14.736,Rbmb6 HD:Het,8 weeks,4310394,Female,day_three
"(4310394, 'Female', '8 weeks', 'distance (mm)')",Distance,2310.769586,Rbmb6 HD:Het,8 weeks,4310394,Female,day_three
"(4310395, 'Female', '8 weeks', 'Climbing')",Climbing,139.816,Rbmb6 HD:Het,8 weeks,4310395,Female,day_three
"(4310395, 'Female', '8 weeks', 'distance (mm)')",Distance,11113.97034,Rbmb6 HD:Het,8 weeks,4310395,Female,day_three
"(4310396, 'Female', '13 weeks', 'Climbing')",Climbing,131.712,Rbmb6 HD:WT,13 weeks,4310396,Female,day_three
"(4310396, 'Female', '13 weeks', 'distance (mm)')",Distance,5535.0742,Rbmb6 HD:WT,13 weeks,4310396,Female,day_three
"(4310396, 'Female', '15-16 weeks', 'Climbing')",Climbing,19.296,Rbmb6 HD:WT,15-16 weeks,4310396,Female,day_three
"(4310396, 'Female', '15-16 weeks', 'distance (mm)')",Distance,4940.426436,Rbmb6 HD:WT,15-16 weeks,4310396,Female,day_three
"(4310396, 'Female', '8 weeks', 'Climbing')",Climbing,59.872,Rbmb6 HD:WT,8 weeks,4310396,Female,day_three
"(4310396, 'Female', '8 weeks', 'distance (mm)')",Distance,3704.24303,Rbmb6 HD:WT,8 weeks,4310396,Female,day_three
"(4310397, 'Male', '13 weeks', 'Climbing')",Climbing,8.112,Rbmb6 HD:WT,13 weeks,4310397,Male,day_three
"(4310397, 'Male', '13 weeks', 'distance (mm)')",Distance,3047.971457,Rbmb6 HD:WT,13 weeks,4310397,Male,day_three
"(4310397, 'Male', '15-16 weeks', 'Climbing')",Climbing,13.344,Rbmb6 HD:WT,15-16 weeks,4310397,Male,day_three
"(4310397, 'Male', '15-16 weeks', 'distance (mm)')",Distance,3949.408857,Rbmb6 HD:WT,15-16 weeks,4310397,Male,day_three
"(4310397, 'Male', '8 weeks', 'Climbing')",Climbing,6.576,Rbmb6 HD:WT,8 weeks,4310397,Male,day_three
"(4310397, 'Male', '8 weeks', 'distance (mm)')",Distance,3459.594906,Rbmb6 HD:WT,8 weeks,4310397,Male,day_three
"(4310398, 'Male', '13 weeks', 'Climbing')",Climbing,4.08,Rbmb6 HD:Het,13 weeks,4310398,Male,day_three
"(4310398, 'Male', '13 weeks', 'distance (mm)')",Distance,3188.422943,Rbmb6 HD:Het,13 weeks,4310398,Male,day_three
"(4310398, 'Male', '15-16 weeks', 'Climbing')",Climbing,10.896,Rbmb6 HD:Het,15-16 weeks,4310398,Male,day_three
"(4310398, 'Male', '15-16 weeks', 'distance (mm)')",Distance,3115.683676,Rbmb6 HD:Het,15-16 weeks,4310398,Male,day_three
"(4310398, 'Male', '8 weeks', 'Climbing')",Climbing,73.392,Rbmb6 HD:Het,8 weeks,4310398,Male,day_three
"(4310398, 'Male', '8 weeks', 'distance (mm)')",Distance,7734.170969,Rbmb6 HD:Het,8 weeks,4310398,Male,day_three
"(4310410, 'Female', '13 weeks', 'Climbing')",Climbing,80.192,Rbmb6 HD:WT,13 weeks,4310410,Female,day_three
"(4310410, 'Female', '13 weeks', 'distance (mm)')",Distance,7494.821716,Rbmb6 HD:WT,13 weeks,4310410,Female,day_three
"(4310410, 'Female', '15-16 weeks', 'Climbing')",Climbing,30.624,Rbmb6 HD:WT,15-16 weeks,4310410,Female,day_three
"(4310410, 'Female', '15-16 weeks', 'distance (mm)')",Distance,4959.754136,Rbmb6 HD:WT,15-16 weeks,4310410,Female,day_three
"(4310410, 'Female', '8 weeks', 'Climbing')",Climbing,114.72,Rbmb6 HD:WT,8 weeks,4310410,Female,day_three
"(4310410, 'Female', '8 weeks', 'distance (mm)')",Distance,8057.530988,Rbmb6 HD:WT,8 weeks,4310410,Female,day_three
"(4311405, 'Female', '13 weeks', 'Climbing')",Climbing,10.32,Rbmb6 HD:Het,13 weeks,4311405,Female,day_three
"(4311405, 'Female', '13 weeks', 'distance (mm)')",Distance,3804.072505,Rbmb6 HD:Het,13 weeks,4311405,Female,day_three
"(4311405, 'Female', '15-16 weeks', 'Climbing')",Climbing,13.296,Rbmb6 HD:Het,15-16 weeks,4311405,Female,day_three
"(4311405, 'Female', '15-16 weeks', 'distance (mm)')",Distance,5169.454455,Rbmb6 HD:Het,15-16 weeks,4311405,Female,day_three
"(4311405, 'Female', '8 weeks', 'Climbing')",Climbing,130.08,Rbmb6 HD:Het,8 weeks,4311405,Female,day_three
"(4311405, 'Female', '8 weeks', 'distance (mm)')",Distance,7450.306293,Rbmb6 HD:Het,8 weeks,4311405,Female,day_three
"(4311406, 'Male', '15-16 weeks', 'Climbing')",Climbing,11.856,Rbmb6 HD:Het,15-16 weeks,4311406,Male,day_three
"(4311406, 'Male', '15-16 weeks', 'distance (mm)')",Distance,2416.514157,Rbmb6 HD:Het,15-16 weeks,4311406,Male,day_three
"(4311406, 'Male', '8 weeks', 'Climbing')",Climbing,62.88,Rbmb6 HD:Het,8 weeks,4311406,Male,day_three
"(4311406, 'Male', '8 weeks', 'distance (mm)')",Distance,8693.86211,Rbmb6 HD:Het,8 weeks,4311406,Male,day_three
"(4311407, 'Male', '13 weeks', 'Climbing')",Climbing,28.752,Rbmb6 HD:WT,13 weeks,4311407,Male,day_three
"(4311407, 'Male', '13 weeks', 'distance (mm)')",Distance,6655.526197,Rbmb6 HD:WT,13 weeks,4311407,Male,day_three
"(4311407, 'Male', '15-16 weeks', 'Climbing')",Climbing,24.48,Rbmb6 HD:WT,15-16 weeks,4311407,Male,day_three
"(4311407, 'Male', '15-16 weeks', 'distance (mm)')",Distance,6079.493914,Rbmb6 HD:WT,15-16 weeks,4311407,Male,day_three
"(4311407, 'Male', '8 weeks', 'Climbing')",Climbing,39.088,Rbmb6 HD:WT,8 weeks,4311407,Male,day_three
"(4311407, 'Male', '8 weeks', 'distance (mm)')",Distance,6738.419191,Rbmb6 HD:WT,8 weeks,4311407,Male,day_three
"(4311417, 'Female', '13 weeks', 'Climbing')",Climbing,61.824,Rbmb6 HD:WT,13 weeks,4311417,Female,day_three
"(4311417, 'Female', '13 weeks', 'distance (mm)')",Distance,2348.687134,Rbmb6 HD:WT,13 weeks,4311417,Female,day_three
"(4311417, 'Female', '15-16 weeks', 'Climbing')",Climbing,11.472,Rbmb6 HD:WT,15-16 weeks,4311417,Female,day_three
"(4311417, 'Female', '15-16 weeks', 'distance (mm)')",Distance,3174.551894,Rbmb6 HD:WT,15-16 weeks,4311417,Female,day_three
"(4311417, 'Female', '8 weeks', 'Climbing')",Climbing,35.856,Rbmb6 HD:WT,8 weeks,4311417,Female,day_three
"(4311417, 'Female', '8 weeks', 'distance (mm)')",Distance,4198.247949,Rbmb6 HD:WT,8 weeks,4311417,Female,day_three
"(4314309, 'Male', '8 weeks', 'Climbing')",Climbing,12.672,Rbmb6 HD:Het,8 weeks,4314309,Male,day_three
"(4314309, 'Male', '8 weeks', 'distance (mm)')",Distance,3951.111866,Rbmb6 HD:Het,8 weeks,4314309,Male,day_three
"(4314315, 'Female', '8 weeks', 'Climbing')",Climbing,10.944,Rbmb6 HD:WT,8 weeks,4314315,Female,day_three
"(4314315, 'Female', '8 weeks', 'distance (mm)')",Distance,941.9831694,Rbmb6 HD:WT,8 weeks,4314315,Female,day_three
"(4314316, 'Female', '8 weeks', 'Climbing')",Climbing,48.672,Rbmb6 HD:Het,8 weeks,4314316,Female,day_three
"(4314316, 'Female', '8 weeks', 'distance (mm)')",Distance,4553.924185,Rbmb6 HD:Het,8 weeks,4314316,Female,day_three
"(4366282, 'Male', '13 weeks', 'Climbing')",Climbing,12.032,Rbmb6 HD:WT,13 weeks,4366282,Male,day_three
"(4366282, 'Male', '13 weeks', 'distance (mm)')",Distance,4417.324248,Rbmb6 HD:WT,13 weeks,4366282,Male,day_three
"(4366282, 'Male', '15-16 weeks', 'Climbing')",Climbing,16.272,Rbmb6 HD:WT,15-16 weeks,4366282,Male,day_three
"(4366282, 'Male', '15-16 weeks', 'distance (mm)')",Distance,12574.39542,Rbmb6 HD:WT,15-16 weeks,4366282,Male,day_three
"(4366282, 'Male', '8 weeks', 'Climbing')",Climbing,14.32,Rbmb6 HD:WT,8 weeks,4366282,Male,day_three
"(4366282, 'Male', '8 weeks', 'distance (mm)')",Distance,5674.734512,Rbmb6 HD:WT,8 weeks,4366282,Male,day_three
"(4366286, 'Male', '13 weeks', 'Climbing')",Climbing,41.76,Rbmb6 HD:Het,13 weeks,4366286,Male,day_three
"(4366286, 'Male', '13 weeks', 'distance (mm)')",Distance,4252.899371,Rbmb6 HD:Het,13 weeks,4366286,Male,day_three
"(4366286, 'Male', '15-16 weeks', 'Climbing')",Climbing,0.576,Rbmb6 HD:Het,15-16 weeks,4366286,Male,day_three
"(4366286, 'Male', '15-16 weeks', 'distance (mm)')",Distance,5466.702532,Rbmb6 HD:Het,15-16 weeks,4366286,Male,day_three
"(4366286, 'Male', '8 weeks', 'Climbing')",Climbing,28.608,Rbmb6 HD:Het,8 weeks,4366286,Male,day_three
"(4366286, 'Male', '8 weeks', 'distance (mm)')",Distance,4374.721151,Rbmb6 HD:Het,8 weeks,4366286,Male,day_three
