,Action,value,Genotype,Age,Cage,Period,Sex,timepoint
"(4242121, 'distance (mm)', 'Light', '12 months')",Distance,1088.674436,C57BL6/J,12 months,4242121,Light,Female,day_one
"(4242121, 'distance (mm)', 'Light', '3 months')",Distance,1221.781463,C57BL6/J,3 months,4242121,Light,Female,day_one
"(4242121, 'distance (mm)', 'Light', '7 months')",Distance,1099.333359,C57BL6/J,7 months,4242121,Light,Female,day_one
"(4245170, 'Climbing', 'Dark', '12 months')",Climbing,32.40066667,C57BL6/J,12 months,4245170,Dark,Female,day_one
"(4245170, 'Climbing', 'Dark', '3 months')",Climbing,54.92,C57BL6/J,3 months,4245170,Dark,Female,day_one
"(4245170, 'Climbing', 'Dark', '7 months')",Climbing,31.52,C57BL6/J,7 months,4245170,Dark,Female,day_one
"(4245170, 'Climbing', 'Light', '12 months')",Climbing,13.21309091,C57BL6/J,12 months,4245170,Light,Female,day_one
"(4245170, 'Climbing', 'Light', '3 months')",Climbing,2.871272727,C57BL6/J,3 months,4245170,Light,Female,day_one
"(4245170, 'Climbing', 'Light', '7 months')",Climbing,2.980363636,C57BL6/J,7 months,4245170,Light,Female,day_one
"(4245170, 'distance (mm)', 'Dark', '12 months')",Distance,2162.797543,C57BL6/J,12 months,4245170,Dark,Female,day_one
"(4245170, 'distance (mm)', 'Dark', '3 months')",Distance,4230.859059,C57BL6/J,3 months,4245170,Dark,Female,day_one
"(4245170, 'distance (mm)', 'Dark', '7 months')",Distance,5313.804169,C57BL6/J,7 months,4245170,Dark,Female,day_one
"(4245170, 'distance (mm)', 'Light', '12 months')",Distance,722.1171898,C57BL6/J,12 months,4245170,Light,Female,day_one
"(4245170, 'distance (mm)', 'Light', '3 months')",Distance,1043.309977,C57BL6/J,3 months,4245170,Light,Female,day_one
"(4245170, 'distance (mm)', 'Light', '7 months')",Distance,1417.642348,C57BL6/J,7 months,4245170,Light,Female,day_one
"(4246248, 'Climbing', 'Dark', '12 months')",Climbing,78.74866667,C57BL6/J,12 months,4246248,Dark,Female,day_one
"(4246248, 'Climbing', 'Dark', '3 months')",Climbing,105.3,C57BL6/J,3 months,4246248,Dark,Female,day_one
"(4246248, 'Climbing', 'Dark', '7 months')",Climbing,154.5216667,C57BL6/J,7 months,4246248,Dark,Female,day_one
"(4246248, 'Climbing', 'Light', '12 months')",Climbing,11.13963636,C57BL6/J,12 months,4246248,Light,Female,day_one
"(4246248, 'Climbing', 'Light', '3 months')",Climbing,8.688,C57BL6/J,3 months,4246248,Light,Female,day_one
"(4246248, 'Climbing', 'Light', '7 months')",Climbing,5.506909091,C57BL6/J,7 months,4246248,Light,Female,day_one
"(4246248, 'distance (mm)', 'Dark', '12 months')",Distance,4035.002581,C57BL6/J,12 months,4246248,Dark,Female,day_one
"(4246248, 'distance (mm)', 'Dark', '3 months')",Distance,7533.49431,C57BL6/J,3 months,4246248,Dark,Female,day_one
"(4246248, 'distance (mm)', 'Dark', '7 months')",Distance,9448.147209,C57BL6/J,7 months,4246248,Dark,Female,day_one
"(4246248, 'distance (mm)', 'Light', '12 months')",Distance,1730.455866,C57BL6/J,12 months,4246248,Light,Female,day_one
"(4246248, 'distance (mm)', 'Light', '3 months')",Distance,1729.249693,C57BL6/J,3 months,4246248,Light,Female,day_one
"(4246248, 'distance (mm)', 'Light', '7 months')",Distance,1769.359873,C57BL6/J,7 months,4246248,Light,Female,day_one
"(4246781, 'Climbing', 'Dark', '12 months')",Climbing,21.332,C57BL6/J,12 months,4246781,Dark,Female,day_one
"(4246781, 'Climbing', 'Dark', '7 months')",Climbing,96.124,C57BL6/J,7 months,4246781,Dark,Female,day_one
"(4246781, 'Climbing', 'Light', '12 months')",Climbing,4.749818182,C57BL6/J,12 months,4246781,Light,Female,day_one
