,Action,value,Genotype,Age,Cage,Sex,timepoint
"(4309505, 'Male', '15-16 weeks', 'distance (mm)')",Distance,5573.476245,Rbmb6 HD:Het,15-16 weeks,4309505,Male,day_one
"(4309505, 'Male', '8 weeks', 'Climbing')",Climbing,0,Rbmb6 HD:Het,8 weeks,4309505,Male,day_one
"(4309505, 'Male', '8 weeks', 'distance (mm)')",Distance,1069.1227,Rbmb6 HD:Het,8 weeks,4309505,Male,day_one
"(4309509, 'Female', '13 weeks', 'Climbing')",Climbing,0,Rbmb6 HD:WT,13 weeks,4309509,Female,day_one
"(4309509, 'Female', '13 weeks', 'distance (mm)')",Distance,11495.6877,Rbmb6 HD:WT,13 weeks,4309509,Female,day_one
"(4309509, 'Female', '15-16 weeks', 'Climbing')",Climbing,161.664,Rbmb6 HD:WT,15-16 weeks,4309509,Female,day_one
"(4309509, 'Female', '15-16 weeks', 'distance (mm)')",Distance,7672.341394,Rbmb6 HD:WT,15-16 weeks,4309509,Female,day_one
"(4309509, 'Female', '8 weeks', 'Climbing')",Climbing,110.056,Rbmb6 HD:WT,8 weeks,4309509,Female,day_one
"(4309509, 'Female', '8 weeks', 'distance (mm)')",Distance,12394.38706,Rbmb6 HD:WT,8 weeks,4309509,Female,day_one
"(4310394, 'Female', '13 weeks', 'Climbing')",Climbing,45.744,Rbmb6 HD:Het,13 weeks,4310394,Female,day_one
"(4310394, 'Female', '13 weeks', 'distance (mm)')",Distance,3918.02308,Rbmb6 HD:Het,13 weeks,4310394,Female,day_one
"(4310394, 'Female', '15-16 weeks', 'Climbing')",Climbing,7.392,Rbmb6 HD:Het,15-16 weeks,4310394,Female,day_one
"(4310394, 'Female', '15-16 weeks', 'distance (mm)')",Distance,4231.21064,Rbmb6 HD:Het,15-16 weeks,4310394,Female,day_one
"(4310394, 'Female', '8 weeks', 'Climbing')",Climbing,0,Rbmb6 HD:Het,8 weeks,4310394,Female,day_one
"(4310394, 'Female', '8 weeks', 'distance (mm)')",Distance,433.3718376,Rbmb6 HD:Het,8 weeks,4310394,Female,day_one
"(4310395, 'Female', '8 weeks', 'Climbing')",Climbing,4.56,Rbmb6 HD:Het,8 weeks,4310395,Female,day_one
"(4310395, 'Female', '8 weeks', 'distance (mm)')",Distance,4829.58015,Rbmb6 HD:Het,8 weeks,4310395,Female,day_one
"(4310396, 'Female', '13 weeks', 'Climbing')",Climbing,119.704,Rbmb6 HD:WT,13 weeks,4310396,Female,day_one
"(4310396, 'Female', '13 weeks', 'distance (mm)')",Distance,9863.753943,Rbmb6 HD:WT,13 weeks,4310396,Female,day_one
"(4310396, 'Female', '15-16 weeks', 'Climbing')",Climbing,123.168,Rbmb6 HD:WT,15-16 weeks,4310396,Female,day_one
"(4310396, 'Female', '15-16 weeks', 'distance (mm)')",Distance,6061.55725,Rbmb6 HD:WT,15-16 weeks,4310396,Female,day_one
"(4310396, 'Female', '8 weeks', 'Climbing')",Climbing,52.464,Rbmb6 HD:WT,8 weeks,4310396,Female,day_one
"(4310396, 'Female', '8 weeks', 'distance (mm)')",Distance,6664.648535,Rbmb6 HD:WT,8 weeks,4310396,Female,day_one
"(4310397, 'Male', '13 weeks', 'Climbing')",Climbing,3.648,Rbmb6 HD:WT,13 weeks,4310397,Male,day_one
"(4310397, 'Male', '13 weeks', 'distance (mm)')",Distance,4130.439416,Rbmb6 HD:WT,13 weeks,4310397,Male,day_one
"(4310397, 'Male', '15-16 weeks', 'Climbing')",Climbing,3.696,Rbmb6 HD:WT,15-16 weeks,4310397,Male,day_one
"(4310397, 'Male', '15-16 weeks', 'distance (mm)')",Distance,2917.126984,Rbmb6 HD:WT,15-16 weeks,4310397,Male,day_one
"(4310397, 'Male', '8 weeks', 'Climbing')",Climbing,24.144,Rbmb6 HD:WT,8 weeks,4310397,Male,day_one
"(4310397, 'Male', '8 weeks', 'distance (mm)')",Distance,5658.240634,Rbmb6 HD:WT,8 weeks,4310397,Male,day_one
"(4310398, 'Male', '13 weeks', 'Climbing')",Climbing,0.24,Rbmb6 HD:Het,13 weeks,4310398,Male,day_one
"(4310398, 'Male', '13 weeks', 'distance (mm)')",Distance,1093.379696,Rbmb6 HD:Het,13 weeks,4310398,Male,day_one
"(4310398, 'Male', '15-16 weeks', 'Climbing')",Climbing,4.656,Rbmb6 HD:Het,15-16 weeks,4310398,Male,day_one
"(4310398, 'Male', '15-16 weeks', 'distance (mm)')",Distance,2197.700583,Rbmb6 HD:Het,15-16 weeks,4310398,Male,day_one
"(4310398, 'Male', '8 weeks', 'Climbing')",Climbing,67.24,Rbmb6 HD:Het,8 weeks,4310398,Male,day_one
"(4310398, 'Male', '8 weeks', 'distance (mm)')",Distance,6928.168213,Rbmb6 HD:Het,8 weeks,4310398,Male,day_one
"(4310410, 'Female', '13 weeks', 'Climbing')",Climbing,175.504,Rbmb6 HD:WT,13 weeks,4310410,Female,day_one
