,Action,value,Genotype,Age,Cage,Sex,timepoint
"(4303291, 'Female', '13 weeks', 'Climbing')",Climbing,129.744,Rbmb6 HD:WT,13 weeks,4303291,Female,day_three
"(4303291, 'Female', '13 weeks', 'distance (mm)')",Distance,10678.14004,Rbmb6 HD:WT,13 weeks,4303291,Female,day_three
"(4303291, 'Female', '15-16 weeks', 'Climbing')",Climbing,78.768,Rbmb6 HD:WT,15-16 weeks,4303291,Female,day_three
"(4303291, 'Female', '15-16 weeks', 'distance (mm)')",Distance,8377.580554,Rbmb6 HD:WT,15-16 weeks,4303291,Female,day_three
"(4309500, 'Male', '8 weeks', 'Climbing')",Climbing,0,Rbmb6 HD:Het,8 weeks,4309500,Male,day_three
"(4309500, 'Male', '8 weeks', 'distance (mm)')",Distance,173.5292862,Rbmb6 HD:Het,8 weeks,4309500,Male,day_three
"(4309505, 'Male', '13 weeks', 'Climbing')",Climbing,15.552,Rbmb6 HD:Het,13 weeks,4309505,Male,day_three
"(4309505, 'Male', '13 weeks', 'distance (mm)')",Distance,7849.084973,Rbmb6 HD:Het,13 weeks,4309505,Male,day_three
"(4309505, 'Male', '15-16 weeks', 'Climbing')",Climbing,5.04,Rbmb6 HD:Het,15-16 weeks,4309505,Male,day_three
"(4309505, 'Male', '15-16 weeks', 'distance (mm)')",Distance,2987.506647,Rbmb6 HD:Het,15-16 weeks,4309505,Male,day_three
"(4309505, 'Male', '8 weeks', 'Climbing')",Climbing,15.312,Rbmb6 HD:Het,8 weeks,4309505,Male,day_three
"(4309505, 'Male', '8 weeks', 'distance (mm)')",Distance,7497.432823,Rbmb6 HD:Het,8 weeks,4309505,Male,day_three
"(4309509, 'Female', '13 weeks', 'Climbing')",Climbing,96.432,Rbmb6 HD:WT,13 weeks,4309509,Female,day_three
"(4309509, 'Female', '13 weeks', 'distance (mm)')",Distance,7493.958362,Rbmb6 HD:WT,13 weeks,4309509,Female,day_three
"(4309509, 'Female', '15-16 weeks', 'Climbing')",Climbing,130.904,Rbmb6 HD:WT,15-16 weeks,4309509,Female,day_three
"(4309509, 'Female', '15-16 weeks', 'distance (mm)')",Distance,6172.890466,Rbmb6 HD:WT,15-16 weeks,4309509,Female,day_three
"(4309509, 'Female', '8 weeks', 'Climbing')",Climbing,102.616,Rbmb6 HD:WT,8 weeks,4309509,Female,day_three
"(4309509, 'Female', '8 weeks', 'distance (mm)')",Distance,10944.46531,Rbmb6 HD:WT,8 weeks,4309509,Female,day_three
"(4310394, 'Female', '13 weeks', 'Climbing')",Climbing,3.744,Rbmb6 HD:Het,13 weeks,4310394,Female,day_three
"(4310394, 'Female', '13 weeks', 'distance (mm)')",Distance,3879.3256,Rbmb6 HD:Het,13 weeks,4310394,Female,day_three
"(4310394, 'Female', '15-16 weeks', 'Climbing')",Climbing,12.24,Rbmb6 HD:Het,15-16 weeks,4310394,Female,day_three
"(4310394, 'Female', '15-16 weeks', 'distance (mm)')",Distance,6514.409491,Rbmb6 HD:Het,15-16 weeks,4310394,Female,day_three
"(4310394, 'Female', '8 weeks', 'Climbing')",Climbing,35.712,Rbmb6 HD:Het,8 weeks,4310394,Female,day_three
"(4310394, 'Female', '8 weeks', 'distance (mm)')",Distance,9393.944525,Rbmb6 HD:Het,8 weeks,4310394,Female,day_three
"(4310395, 'Female', '8 weeks', 'Climbing')",Climbing,21.264,Rbmb6 HD:Het,8 weeks,4310395,Female,day_three
"(4310395, 'Female', '8 weeks', 'distance (mm)')",Distance,12831.70022,Rbmb6 HD:Het,8 weeks,4310395,Female,day_three
"(4310396, 'Female', '13 weeks', 'Climbing')",Climbing,114.424,Rbmb6 HD:WT,13 weeks,4310396,Female,day_three
"(4310396, 'Female', '13 weeks', 'distance (mm)')",Distance,9379.540967,Rbmb6 HD:WT,13 weeks,4310396,Female,day_three
"(4310396, 'Female', '15-16 weeks', 'Climbing')",Climbing,197.592,Rbmb6 HD:WT,15-16 weeks,4310396,Female,day_three
"(4310396, 'Female', '15-16 weeks', 'distance (mm)')",Distance,11401.71643,Rbmb6 HD:WT,15-16 weeks,4310396,Female,day_three
"(4310396, 'Female', '8 weeks', 'Climbing')",Climbing,43.536,Rbmb6 HD:WT,8 weeks,4310396,Female,day_three
"(4310396, 'Female', '8 weeks', 'distance (mm)')",Distance,5766.199365,Rbmb6 HD:WT,8 weeks,4310396,Female,day_three
"(4310397, 'Male', '13 weeks', 'Climbing')",Climbing,5.376,Rbmb6 HD:WT,13 weeks,4310397,Male,day_three
"(4310397, 'Male', '13 weeks', 'distance (mm)')",Distance,2973.66901,Rbmb6 HD:WT,13 weeks,4310397,Male,day_three
"(4310397, 'Male', '15-16 weeks', 'Climbing')",Climbing,8.832,Rbmb6 HD:WT,15-16 weeks,4310397,Male,day_three
"(4310397, 'Male', '15-16 weeks', 'distance (mm)')",Distance,2984.223899,Rbmb6 HD:WT,15-16 weeks,4310397,Male,day_three
"(4310397, 'Male', '8 weeks', 'Climbing')",Climbing,9.216,Rbmb6 HD:WT,8 weeks,4310397,Male,day_three
"(4310397, 'Male', '8 weeks', 'distance (mm)')",Distance,5319.438614,Rbmb6 HD:WT,8 weeks,4310397,Male,day_three
"(4310398, 'Male', '13 weeks', 'Climbing')",Climbing,10.512,Rbmb6 HD:Het,13 weeks,4310398,Male,day_three
"(4310398, 'Male', '13 weeks', 'distance (mm)')",Distance,3163.318464,Rbmb6 HD:Het,13 weeks,4310398,Male,day_three
"(4310398, 'Male', '15-16 weeks', 'Climbing')",Climbing,20.832,Rbmb6 HD:Het,15-16 weeks,4310398,Male,day_three
"(4310398, 'Male', '15-16 weeks', 'distance (mm)')",Distance,3986.521702,Rbmb6 HD:Het,15-16 weeks,4310398,Male,day_three
"(4310398, 'Male', '8 weeks', 'Climbing')",Climbing,25.152,Rbmb6 HD:Het,8 weeks,4310398,Male,day_three
"(4310398, 'Male', '8 weeks', 'distance (mm)')",Distance,2581.741283,Rbmb6 HD:Het,8 weeks,4310398,Male,day_three
"(4310410, 'Female', '13 weeks', 'Climbing')",Climbing,297.312,Rbmb6 HD:WT,13 weeks,4310410,Female,day_three
"(4310410, 'Female', '13 weeks', 'distance (mm)')",Distance,15162.47625,Rbmb6 HD:WT,13 weeks,4310410,Female,day_three
"(4310410, 'Female', '15-16 weeks', 'Climbing')",Climbing,68.832,Rbmb6 HD:WT,15-16 weeks,4310410,Female,day_three
"(4310410, 'Female', '15-16 weeks', 'distance (mm)')",Distance,14106.61584,Rbmb6 HD:WT,15-16 weeks,4310410,Female,day_three
"(4310410, 'Female', '8 weeks', 'Climbing')",Climbing,151.872,Rbmb6 HD:WT,8 weeks,4310410,Female,day_three
"(4310410, 'Female', '8 weeks', 'distance (mm)')",Distance,9659.944556,Rbmb6 HD:WT,8 weeks,4310410,Female,day_three
"(4311405, 'Female', '13 weeks', 'Climbing')",Climbing,0.096,Rbmb6 HD:Het,13 weeks,4311405,Female,day_three
"(4311405, 'Female', '13 weeks', 'distance (mm)')",Distance,474.7298134,Rbmb6 HD:Het,13 weeks,4311405,Female,day_three
"(4311405, 'Female', '15-16 weeks', 'Climbing')",Climbing,0.528,Rbmb6 HD:Het,15-16 weeks,4311405,Female,day_three
"(4311405, 'Female', '15-16 weeks', 'distance (mm)')",Distance,1013.874304,Rbmb6 HD:Het,15-16 weeks,4311405,Female,day_three
"(4311405, 'Female', '8 weeks', 'Climbing')",Climbing,27.696,Rbmb6 HD:Het,8 weeks,4311405,Female,day_three
"(4311405, 'Female', '8 weeks', 'distance (mm)')",Distance,10747.692,Rbmb6 HD:Het,8 weeks,4311405,Female,day_three
"(4311406, 'Male', '15-16 weeks', 'Climbing')",Climbing,0,Rbmb6 HD:Het,15-16 weeks,4311406,Male,day_three
"(4311406, 'Male', '15-16 weeks', 'distance (mm)')",Distance,734.1038849,Rbmb6 HD:Het,15-16 weeks,4311406,Male,day_three
"(4311406, 'Male', '8 weeks', 'Climbing')",Climbing,6.624,Rbmb6 HD:Het,8 weeks,4311406,Male,day_three
"(4311406, 'Male', '8 weeks', 'distance (mm)')",Distance,4308.294817,Rbmb6 HD:Het,8 weeks,4311406,Male,day_three
"(4311407, 'Male', '13 weeks', 'Climbing')",Climbing,27.504,Rbmb6 HD:WT,13 weeks,4311407,Male,day_three
"(4311407, 'Male', '13 weeks', 'distance (mm)')",Distance,8342.262747,Rbmb6 HD:WT,13 weeks,4311407,Male,day_three
"(4311407, 'Male', '15-16 weeks', 'Climbing')",Climbing,46.56,Rbmb6 HD:WT,15-16 weeks,4311407,Male,day_three
"(4311407, 'Male', '15-16 weeks', 'distance (mm)')",Distance,11292.03911,Rbmb6 HD:WT,15-16 weeks,4311407,Male,day_three
"(4311407, 'Male', '8 weeks', 'Climbing')",Climbing,15.76,Rbmb6 HD:WT,8 weeks,4311407,Male,day_three
"(4311407, 'Male', '8 weeks', 'distance (mm)')",Distance,12881.73613,Rbmb6 HD:WT,8 weeks,4311407,Male,day_three
"(4311417, 'Female', '13 weeks', 'Climbing')",Climbing,87.648,Rbmb6 HD:WT,13 weeks,4311417,Female,day_three
"(4311417, 'Female', '13 weeks', 'distance (mm)')",Distance,8165.853686,Rbmb6 HD:WT,13 weeks,4311417,Female,day_three
"(4311417, 'Female', '15-16 weeks', 'Climbing')",Climbing,27.36,Rbmb6 HD:WT,15-16 weeks,4311417,Female,day_three
"(4311417, 'Female', '15-16 weeks', 'distance (mm)')",Distance,12361.13474,Rbmb6 HD:WT,15-16 weeks,4311417,Female,day_three
"(4311417, 'Female', '8 weeks', 'Climbing')",Climbing,73.92,Rbmb6 HD:WT,8 weeks,4311417,Female,day_three
"(4311417, 'Female', '8 weeks', 'distance (mm)')",Distance,14271.03835,Rbmb6 HD:WT,8 weeks,4311417,Female,day_three
"(4314309, 'Male', '8 weeks', 'Climbing')",Climbing,3.6,Rbmb6 HD:Het,8 weeks,4314309,Male,day_three
"(4314309, 'Male', '8 weeks', 'distance (mm)')",Distance,3211.776519,Rbmb6 HD:Het,8 weeks,4314309,Male,day_three
"(4314315, 'Female', '8 weeks', 'Climbing')",Climbing,45.12,Rbmb6 HD:WT,8 weeks,4314315,Female,day_three
"(4314315, 'Female', '8 weeks', 'distance (mm)')",Distance,7094.449841,Rbmb6 HD:WT,8 weeks,4314315,Female,day_three
"(4314316, 'Female', '8 weeks', 'Climbing')",Climbing,34.704,Rbmb6 HD:Het,8 weeks,4314316,Female,day_three
"(4314316, 'Female', '8 weeks', 'distance (mm)')",Distance,3603.976459,Rbmb6 HD:Het,8 weeks,4314316,Female,day_three
"(4366282, 'Male', '13 weeks', 'Climbing')",Climbing,32.784,Rbmb6 HD:WT,13 weeks,4366282,Male,day_three
"(4366282, 'Male', '13 weeks', 'distance (mm)')",Distance,5165.524401,Rbmb6 HD:WT,13 weeks,4366282,Male,day_three
"(4366282, 'Male', '15-16 weeks', 'Climbing')",Climbing,53.904,Rbmb6 HD:WT,15-16 weeks,4366282,Male,day_three
"(4366282, 'Male', '15-16 weeks', 'distance (mm)')",Distance,20545.67838,Rbmb6 HD:WT,15-16 weeks,4366282,Male,day_three
"(4366282, 'Male', '8 weeks', 'Climbing')",Climbing,21.552,Rbmb6 HD:WT,8 weeks,4366282,Male,day_three
"(4366282, 'Male', '8 weeks', 'distance (mm)')",Distance,11320.38703,Rbmb6 HD:WT,8 weeks,4366282,Male,day_three
"(4366286, 'Male', '13 weeks', 'Climbing')",Climbing,21.984,Rbmb6 HD:Het,13 weeks,4366286,Male,day_three
"(4366286, 'Male', '13 weeks', 'distance (mm)')",Distance,4312.837506,Rbmb6 HD:Het,13 weeks,4366286,Male,day_three
"(4366286, 'Male', '15-16 weeks', 'Climbing')",Climbing,1.152,Rbmb6 HD:Het,15-16 weeks,4366286,Male,day_three
"(4366286, 'Male', '15-16 weeks', 'distance (mm)')",Distance,6701.478776,Rbmb6 HD:Het,15-16 weeks,4366286,Male,day_three
"(4366286, 'Male', '8 weeks', 'Climbing')",Climbing,9.936,Rbmb6 HD:Het,8 weeks,4366286,Male,day_three
"(4366286, 'Male', '8 weeks', 'distance (mm)')",Distance,5236.077588,Rbmb6 HD:Het,8 weeks,4366286,Male,day_three
